Name,Sex,Age,Height,Weight,Year,Event,Medal
Vladislav Chernobay,M,20,192,90,1996,100 metres,NA
Lyudmila Alekseyevna Chernova (-Zenina),F,25,165,56,1980,400 metres,NA
Gennady Sergeyevich Chernovol,M,24,185,71,2000,200 metres,NA
Gennady Sergeyevich Chernovol,M,28,185,71,2004,100 metres,NA
Abraham Naibei Cheroben,M,23,176,60,2016,"10,000 metres",NA
Janet Cherobon-Bawcom,F,33,170,52,2012,"10,000 metres",NA
Lydia Cheromei (-Kogo),F,15,158,54,1992,"10,000 metres",NA
Lydia Cheromei (-Kogo),F,19,158,54,1996,"5,000 metres",NA
Lydia Cheromei (-Kogo),F,23,158,54,2000,"5,000 metres",NA
Mercy Cherono Koech,F,25,NA,51,2016,"5,000 metres",NA
Priscah Jepleting Cherono (Ngetich-),F,28,158,47,2008,"5,000 metres",NA
Charles Cheruiyot,M,19,165,54,1984,"5,000 metres",NA
Charles Cheruiyot,M,23,165,54,1988,"5,000 metres",NA
Kenneth Cheruiyot,M,26,173,53,2000,Marathon,NA
Kipkoech Cheruiyot,M,19,165,54,1984,"1,500 metres",NA
Kipkoech Cheruiyot,M,23,165,54,1988,"1,500 metres",NA
Rose Jelagat Cheruiyot (-Kirui),F,19,154,48,1996,"5,000 metres",NA
Rose Jelagat Cheruiyot (-Kirui),F,24,154,48,2000,"5,000 metres",NA
Vivian Jepkemoi Cheruiyot,F,17,153,40,2000,"5,000 metres",NA
Vivian Jepkemoi Cheruiyot,F,24,153,40,2008,"5,000 metres",NA
Vivian Jepkemoi Cheruiyot,F,28,153,40,2012,"5,000 metres",Silver
Vivian Jepkemoi Cheruiyot,F,28,153,40,2012,"10,000 metres",Bronze
Vivian Jepkemoi Cheruiyot,F,32,153,40,2016,"5,000 metres",Gold
Vivian Jepkemoi Cheruiyot,F,32,153,40,2016,"10,000 metres",Silver
Stella Chesang,F,19,NA,NA,2016,"5,000 metres",NA
Joseph Chesire,M,26,167,57,1984,"1,500 metres",NA
Joseph Chesire,M,30,167,57,1988,"1,500 metres",NA
Joseph Chesire,M,34,167,57,1992,"1,500 metres",NA
Issa Ali Chetoui,M,NA,172,60,1980,Marathon,NA
Chiang Wai Hung,M,24,180,80,2000,100 metres,NA
Chiang Wai Hung,M,28,180,80,2004,100 metres,NA
Masako Chiba,F,20,156,39,1996,"10,000 metres",NA
Robert Chideka,M,24,162,57,1980,"5,000 metres",NA
James Nyang Chiengjiek,M,24,179,59,2016,400 metres,NA
Maria Benedicta Chigbolu,F,27,172,55,2016,400 metres,NA
Agnes Catherine Chikwakwa,F,15,168,45,2000,"5,000 metres",NA
Agnes Catherine Chikwakwa,F,19,168,45,2004,"5,000 metres",NA
Gayane Chiloyan,F,15,164,54,2016,200 metres,NA
Abel Chimukoko,M,31,186,70,2004,Marathon,NA
Tendai Chimusasa,M,21,180,60,1992,"5,000 metres",NA
Tendai Chimusasa,M,21,180,60,1992,"10,000 metres",NA
Tendai Chimusasa,M,25,180,60,1996,Marathon,NA
Tendai Chimusasa,M,29,180,60,2000,Marathon,NA
Chungu Chipako,M,29,170,60,2000,"1,500 metres",NA
Jonathan Chipalo,M,26,174,58,1988,400 metres,NA
Jordan Chipangama,M,27,173,53,2016,Marathon,NA
Selina Chirchir,F,15,168,54,1984,800 metres,NA
Selina Chirchir,F,27,168,54,1996,Marathon,NA
William Kipkorir Chirchir,M,21,177,55,2000,"1,500 metres",NA
Kefasi Chitsala,M,22,170,63,2016,"5,000 metres",NA
Patrick Chiwala,M,27,165,53,1980,Marathon,NA
Kondwani Chiwina,M,24,180,70,2004,800 metres,NA
Tawanda Blessings Chiwira,M,21,178,68,1996,400 metres,NA
Tawanda Blessings Chiwira,M,26,178,68,2000,400 metres,NA
Augustine Kiprono Choge,M,21,162,55,2008,"1,500 metres",NA
Choi Gyeong-Hui,F,22,160,46,2004,Marathon,NA
Choi Se-Beom,F,16,160,44,1988,800 metres,NA
Lidia Chojecka (-Okniska),F,23,163,47,2000,"1,500 metres",NA
Lidia Chojecka (-Okniska),F,27,163,47,2004,"1,500 metres",NA
Lidia Chojecka (-Okniska),F,31,163,47,2008,"1,500 metres",NA
Nednapa Chommuak,F,20,164,50,1992,200 metres,NA
Chauness Chauzje Choosha,F,19,NA,NA,2012,100 metres,NA
Shahanuddin Choudhury,M,25,173,62,1992,200 metres,NA
Nabil Boutros Choury,M,NA,NA,NA,1980,Marathon,NA
Rachid Chouhal,M,37,178,80,2012,100 metres,NA
Brendan Kyle Akeem Christian,M,20,175,70,2004,200 metres,NA
Brendan Kyle Akeem Christian,M,24,175,70,2008,200 metres,NA
Brendan Kyle Akeem Christian,M,28,175,70,2012,200 metres,NA
Nina Christiansen,F,32,159,44,1996,"5,000 metres",NA
Linford Ecerio Christie,M,28,189,94,1988,100 metres,Silver
Linford Ecerio Christie,M,28,189,94,1988,200 metres,NA
Linford Ecerio Christie,M,32,189,94,1992,100 metres,Gold
Linford Ecerio Christie,M,32,189,94,1992,200 metres,NA
Linford Ecerio Christie,M,36,189,94,1996,100 metres,NA
Linford Ecerio Christie,M,36,189,94,1996,200 metres,NA
Tyler Christopher,M,24,188,84,2008,400 metres,NA
Clement Chukwu,M,23,190,82,1996,400 metres,NA
Ajay Chuttoo,M,30,165,65,1996,Marathon,NA
ukasz Chya,M,23,188,86,2004,100 metres,NA
Angelika Cichocka,F,28,170,56,2016,800 metres,NA
Angelika Cichocka,F,28,170,56,2016,"1,500 metres",NA
Hannes Waldemar Cierpinski,M,29,170,59,1980,Marathon,Gold
Maria Cioncan,F,27,172,57,2004,800 metres,NA
Maria Cioncan,F,27,172,57,2004,"1,500 metres",Bronze
Suzana iri,F,23,164,47,1992,"10,000 metres",NA
Suzana iri,F,27,164,47,1996,Marathon,NA
Elena Daniela Crlan,F,35,164,47,2016,Marathon,NA
Sandra Citt,F,24,162,57,2000,100 metres,NA
"Christine ""Chris"" Clark",F,37,165,50,2000,Marathon,NA
Darren Edward Clark,M,18,179,76,1984,400 metres,NA
Darren Edward Clark,M,23,179,76,1988,400 metres,NA
Milly Clark,F,27,NA,NA,2016,Marathon,NA
Ranza Clark (-Boileau),F,22,175,57,1984,800 metres,NA
Joetta Clark-Diggs,F,26,168,56,1988,800 metres,NA
Joetta Clark-Diggs,F,29,168,56,1992,800 metres,NA
Joetta Clark-Diggs,F,33,168,56,1996,800 metres,NA
Joetta Clark-Diggs,F,38,168,56,2000,800 metres,NA
Hazel Mae Clark-Riley,F,22,178,55,2000,800 metres,NA
Hazel Mae Clark-Riley,F,26,178,55,2004,800 metres,NA
Hazel Mae Clark-Riley,F,30,178,55,2008,800 metres,NA
Davian Dessaline Clarke,M,20,178,78,1996,400 metres,NA
Davian Dessaline Clarke,M,24,178,78,2000,400 metres,NA
Davian Dessaline Clarke,M,28,178,78,2004,400 metres,NA
"Georgina ""Georgie"" Clarke",F,16,170,48,2000,"1,500 metres",NA
Karen Alicia Clarke,F,20,158,58,1992,100 metres,NA
Karen Alicia Clarke,F,20,158,58,1992,200 metres,NA
Kendra Clarke,F,19,167,56,2016,400 metres,NA
Timicka Clarke,F,27,160,54,2008,100 metres,NA
Eldece Clarke-Lewis,F,19,165,58,1984,100 metres,NA
Eldece Clarke-Lewis,F,31,165,58,1996,100 metres,NA
"Donald Gene ""Don"" Clary, Jr.",M,27,175,74,1984,"5,000 metres",NA
Paul Marcos Cleary,M,20,180,67,1996,"1,500 metres",NA
Laurent Clerc,M,24,180,79,1996,400 metres,NA
Gerald Clervil,M,24,173,67,2000,400 metres,NA
Keita Cline,M,25,179,74,2000,200 metres,NA
Mick Clohisey,M,30,180,64,2016,Marathon,NA
Matthew James Coad,M,20,188,81,1996,200 metres,NA
Elisa Nom Cobaea,F,34,156,50,2000,"5,000 metres",NA
Selahattin obanolu,M,18,174,58,2004,800 metres,NA
"Sebastian Newbold ""Seb"" Coe",M,23,175,54,1980,800 metres,Silver
"Sebastian Newbold ""Seb"" Coe",M,23,175,54,1980,"1,500 metres",Gold
"Sebastian Newbold ""Seb"" Coe",M,27,175,54,1984,800 metres,Silver
"Sebastian Newbold ""Seb"" Coe",M,27,175,54,1984,"1,500 metres",Gold
Eduarda Maria Rochateles Castro Coelho,F,28,162,62,1996,800 metres,NA
Ildio Sirgado Coelho Sirgado,M,19,169,56,1980,100 metres,NA
Rosemar Maria Coelho Neto,F,27,162,56,2004,100 metres,NA
Gina Lizeth Coello Touche,F,37,160,44,2000,Marathon,NA
Eamonn Christopher Coghlan,M,27,177,63,1980,"5,000 metres",NA
Eamonn Christopher Coghlan,M,35,177,63,1988,"5,000 metres",NA
"Glendon Howard ""Glen"" Cohen",M,26,185,76,1980,400 metres,NA
Louis Steven Fabrice Coiffic,M,27,168,73,2012,100 metres,NA
Daniel Cojocaru,M,23,189,78,1992,100 metres,NA
Daniel Cojocaru,M,23,189,78,1992,200 metres,NA
Olesea Cojuhari,F,22,170,58,2012,400 metres,NA
LaTasha Lavon Colander-Richardson (-Clark),F,24,168,52,2000,400 metres,NA
LaTasha Lavon Colander-Richardson (-Clark),F,27,168,52,2004,100 metres,NA
Vronique Collard,F,29,167,51,1992,"10,000 metres",NA
Williams Collazo Gutirrez,M,21,172,71,2008,400 metres,NA
Saruba Colley,F,23,145,56,2012,100 metres,NA
Kim Collins,M,20,180,77,1996,100 metres,NA
Kim Collins,M,24,180,77,2000,100 metres,NA
Kim Collins,M,24,180,77,2000,200 metres,NA
Kim Collins,M,28,180,77,2004,100 metres,NA
Kim Collins,M,32,180,77,2008,100 metres,NA
Kim Collins,M,32,180,77,2008,200 metres,NA
Kim Collins,M,40,180,77,2016,100 metres,NA
Michelle E. Collins,F,29,177,62,2000,400 metres,NA
Simone Collio,M,24,180,74,2004,100 metres,NA
Simone Collio,M,28,180,74,2008,100 metres,NA
Andrea Colombo,M,26,190,75,2000,100 metres,NA
Diego Alberto Colorado Agudelo,M,42,171,57,2016,Marathon,NA
Slobodanka olovi,F,23,176,59,1988,800 metres,NA
"Toms ""Tom"" Coman",M,20,190,82,2000,400 metres,NA
Tom Compernolle,M,28,171,53,2004,"5,000 metres",NA
Marco Ivn Condori Colque,M,34,168,60,2000,Marathon,NA
Muriel Coneo Paredes,F,29,160,50,2016,"1,500 metres",NA
Vincent Confait,M,24,179,67,1984,400 metres,NA
Alyssa Conley,F,25,176,63,2016,100 metres,NA
Alyssa Conley,F,25,176,63,2016,200 metres,NA
"Kimberley Frances ""Kim"" Conley",F,26,161,49,2012,"5,000 metres",NA
"Kimberley Frances ""Kim"" Conley",F,30,161,49,2016,"5,000 metres",NA
Jared Connaughton,M,23,175,79,2008,200 metres,NA
Jared Connaughton,M,27,175,79,2012,200 metres,NA
Tina M. Connelly,F,30,165,52,2000,"10,000 metres",NA
Breege Connolly,F,38,163,54,2016,Marathon,NA
Mark Robert Conover,M,28,178,60,1988,Marathon,NA
"Douglas ""Doug"" Consiglio",M,24,193,78,1988,"1,500 metres",NA
Rosaria Console,F,24,160,42,2004,Marathon,NA
Rosaria Console,F,32,160,42,2012,Marathon,NA
"Gwynneth Glyn ""Gwyn"" Coogan (Hardesty-)",F,26,155,50,1992,"10,000 metres",NA
Mark J. Coogan,M,30,178,62,1996,Marathon,NA
Reid Coolsaet,M,32,173,62,2012,Marathon,NA
Reid Coolsaet,M,37,173,62,2016,Marathon,NA
Eswort Lorenzo Brian Coombs,M,19,187,74,1992,200 metres,NA
Eswort Lorenzo Brian Coombs,M,23,187,74,1996,400 metres,NA
Joseph Coombs,M,28,185,80,1980,400 metres,NA
Sayon Cooper,M,22,175,74,1996,100 metres,NA
Sayon Cooper,M,26,175,74,2000,100 metres,NA
Sayon Cooper,M,26,175,74,2000,200 metres,NA
Anuradha Indrajith Cooray,M,26,178,58,2004,Marathon,NA
Anuradha Indrajith Cooray,M,34,178,58,2012,Marathon,NA
Anuradha Indrajith Cooray,M,38,178,58,2016,Marathon,NA
Carlos Cordero Gmez,M,31,159,54,2008,Marathon,NA
Carlos Cordero Gmez,M,35,159,54,2012,Marathon,NA
Gaiet Cornet Pamies,M,25,183,70,1988,400 metres,NA
Gaiet Cornet Pamies,M,28,183,70,1992,400 metres,NA
Frdric Cornette,M,25,176,69,1992,800 metres,NA
Ruddy Cornielle,M,NA,NA,NA,1984,"5,000 metres",NA
Ruddy Cornielle,M,NA,NA,NA,1984,"10,000 metres",NA
Paulo Roberto Correia,M,20,178,72,1980,200 metres,NA
Paulo Roberto Correia,M,24,178,72,1984,100 metres,NA
Lisa Corrigan,F,23,166,48,2008,"1,500 metres",NA
Edgar Alejandro Cortez Espinoza,M,22,170,55,2012,800 metres,NA
Hernn Oscar Cortnez,M,27,180,70,2000,Marathon,NA
Eduardo Alberto Gomes Costa,M,25,NA,NA,1980,100 metres,NA
Waldemar Cotelo,M,32,173,60,1996,Marathon,NA
Geisa Aparecida Muniz Coutinho,F,24,161,55,2004,400 metres,NA
Geisa Aparecida Muniz Coutinho,F,32,161,55,2012,400 metres,NA
Geisa Aparecida Muniz Coutinho,F,36,161,55,2016,400 metres,NA
Fernando Fonces Couto,M,28,165,59,1988,"5,000 metres",NA
Fernando Fonces Couto,M,32,165,59,1992,"10,000 metres",NA
Alberto Cova,M,25,176,58,1984,"10,000 metres",Gold
Alberto Cova,M,29,176,58,1988,"10,000 metres",NA
Shana Amanda Cox,F,27,172,75,2012,400 metres,NA
"Stephen Paul ""Steve"" Crabb",M,24,188,70,1988,"1,500 metres",NA
"Stephen Paul ""Steve"" Crabb",M,28,188,70,1992,"1,500 metres",NA
Dion Kwasi Crabbe,M,27,178,77,2004,200 metres,NA
Alistair Ian Cragg,M,24,180,60,2004,"5,000 metres",NA
Alistair Ian Cragg,M,28,180,60,2008,"1,500 metres",NA
Alistair Ian Cragg,M,28,180,60,2008,"5,000 metres",NA
Alistair Ian Cragg,M,32,180,60,2012,"5,000 metres",NA
"Stephen ""Steve"" Cram",M,19,186,69,1980,"1,500 metres",NA
"Stephen ""Steve"" Cram",M,23,186,69,1984,"1,500 metres",Silver
"Stephen ""Steve"" Cram",M,27,186,69,1988,800 metres,NA
"Stephen ""Steve"" Cram",M,27,186,69,1988,"1,500 metres",NA
Hasely Joachim Crawford,M,29,187,90,1980,100 metres,NA
Hasely Joachim Crawford,M,33,187,90,1984,100 metres,NA
Shawn Crawford,M,26,181,86,2004,100 metres,NA
Shawn Crawford,M,26,181,86,2004,200 metres,Gold
Shawn Crawford,M,30,181,86,2008,200 metres,Silver
"Susan Sarah ""Sue"" Crehan (Smart-)",F,32,165,55,1988,Marathon,NA
Shaun William Creighton,M,29,181,63,1996,"5,000 metres",NA
Shaun William Creighton,M,29,181,63,1996,"10,000 metres",NA
Shaun William Creighton,M,33,181,63,2000,"10,000 metres",NA
Grant Cremer,M,22,186,76,2000,800 metres,NA
Mariana Cress,F,17,159,52,2016,100 metres,NA
Roman William Cress,M,31,NA,NA,2008,100 metres,NA
Marco Cribari,M,23,185,84,2008,200 metres,NA
Olga Cristea,F,16,172,60,2004,800 metres,NA
Olga Cristea,F,20,172,60,2008,800 metres,NA
Johan Tobias Cronje,M,22,182,69,2004,"1,500 metres",NA
Charmaine A. Crooks (-Thorsen),F,21,175,58,1984,400 metres,NA
Charmaine A. Crooks (-Thorsen),F,26,175,58,1988,400 metres,NA
Charmaine A. Crooks (-Thorsen),F,29,175,58,1992,800 metres,NA
Charmaine A. Crooks (-Thorsen),F,33,175,58,1996,800 metres,NA
Anne Therese Cross (Leaney-),F,36,170,55,2000,"5,000 metres",NA
"Margaret Mary ""Marg"" Crowley (Leaney-)",F,29,171,57,1996,"1,500 metres",NA
"Margaret Mary ""Marg"" Crowley (Leaney-)",F,33,171,57,2000,"1,500 metres",NA
Siegfried Cruden,M,24,168,64,1984,400 metres,NA
Siegfried Cruden,M,24,168,64,1984,800 metres,NA
Joaquim Carvalho Cruz,M,21,187,74,1984,800 metres,Gold
Joaquim Carvalho Cruz,M,21,187,74,1984,"1,500 metres",NA
Joaquim Carvalho Cruz,M,25,187,74,1988,800 metres,Silver
Joaquim Carvalho Cruz,M,25,187,74,1988,"1,500 metres",NA
Joaquim Carvalho Cruz,M,33,187,74,1996,"1,500 metres",NA
Miguel Angel Cruz,M,28,167,58,1984,Marathon,NA
Nelson da Cruz,M,30,181,70,2008,Marathon,NA
Gspr Csere,M,24,172,54,2016,Marathon,NA
Ignacio Alberto Cuba Carrero,M,29,174,53,1992,Marathon,NA
Claudia Alina Cucerzan,F,30,164,54,2004,"1,500 metres",NA
Joanne Cuddihy,F,24,184,64,2008,400 metres,NA
Joanne Cuddihy,F,28,184,64,2012,400 metres,NA
Gustavo Cuesta Rosario,M,27,183,80,2016,400 metres,NA
Martn Esteban Cuestas,M,29,182,62,2016,Marathon,NA
Nicols Cuestas,M,29,180,63,2016,Marathon,NA
Keith John Cullen,M,28,177,61,2000,Marathon,NA
Julie Culley,F,30,173,58,2012,"5,000 metres",NA
Alan Lawrence Culpepper,M,27,186,59,2000,"10,000 metres",NA
Alan Lawrence Culpepper,M,31,186,59,2004,Marathon,NA
Shayne Willie Culpepper (Whille-),F,26,165,51,2000,"1,500 metres",NA
Shayne Willie Culpepper (Whille-),F,30,165,51,2004,"5,000 metres",NA
Paul Richard Cummings,M,30,177,63,1984,"10,000 metres",NA
Diane S. Cummins,F,30,165,50,2004,800 metres,NA
Kirk Dwight Cummins,M,23,174,77,1996,100 metres,NA
Teodoro Cuado Pelaz,M,30,172,61,2000,"10,000 metres",NA
Maria Aurora Alves Cunha,F,29,155,48,1988,Marathon,NA
Maria Aurora Alves Cunha,F,33,155,48,1992,Marathon,NA
Lus Filipe Vtorino Cunha,M,23,175,68,1988,100 metres,NA
Lus Filipe Vtorino Cunha,M,23,175,68,1988,200 metres,NA
Lus Filipe Vtorino Cunha,M,31,175,68,1996,100 metres,NA
Maria Curatolo,F,24,147,40,1988,Marathon,NA
Maria Curatolo,F,32,147,40,1996,Marathon,NA
Allison Curbishley,F,24,167,58,2000,400 metres,NA
Pauline Curley,F,39,NA,NA,2008,Marathon,NA
Aunese Curreen,M,26,173,65,2008,800 metres,NA
Elisa Cusma Piccione,F,27,166,50,2008,800 metres,NA
Juliet Jean Cuthbert,F,20,160,54,1984,100 metres,NA
Juliet Jean Cuthbert,F,24,160,54,1988,100 metres,NA
Juliet Jean Cuthbert,F,28,160,54,1992,100 metres,Silver
Juliet Jean Cuthbert,F,28,160,54,1992,200 metres,Silver
Juliet Jean Cuthbert,F,32,160,54,1996,100 metres,NA
Juliet Jean Cuthbert,F,32,160,54,1996,200 metres,NA
Pawe Czapiewski,M,30,178,57,2008,800 metres,NA
"Abigail ""Abbey"" D'Agostino",F,24,160,50,2016,"5,000 metres",NA
Giovanni D'Aleo,M,25,178,65,1984,Marathon,NA
Naiel Santiago D'Almeida,M,21,171,65,2008,400 metres,NA
Calisto da Costa,M,21,162,52,2000,Marathon,NA
Christopher Lima da Costa,M,24,175,62,2012,100 metres,NA
Ronaldo da Costa,M,26,167,52,1996,"10,000 metres",NA
Gil da Cruz Trinidade,M,22,174,NA,2004,Marathon,NA
Guilhermina P. da Cruz,F,18,155,50,1988,100 metres,NA
Guilhermina P. da Cruz,F,18,155,50,1988,200 metres,NA
Guilhermina P. da Cruz,F,26,155,50,1996,200 metres,NA
Guilhermina P. da Cruz,F,26,155,50,1996,400 metres,NA
Adriana Aparecida da Silva,F,31,166,52,2012,Marathon,NA
Adriana Aparecida da Silva,F,35,166,52,2016,Marathon,NA
Andr Domingos da Silva,M,19,187,78,1992,100 metres,NA
Andr Domingos da Silva,M,23,187,78,1996,100 metres,NA
Andr Domingos da Silva,M,27,187,78,2000,200 metres,NA
Andr Domingos da Silva,M,31,187,78,2004,100 metres,NA
Arnaldo de Oliveira da Silva,M,20,174,71,1984,200 metres,NA
Arnaldo de Oliveira da Silva,M,24,174,71,1988,100 metres,NA
Arnaldo de Oliveira da Silva,M,28,174,71,1992,100 metres,NA
Arnaldo de Oliveira da Silva,M,32,174,71,1996,100 metres,NA
Claudinei Quirino da Silva,M,25,186,88,1996,200 metres,NA
Claudinei Quirino da Silva,M,29,186,88,2000,200 metres,NA
Evaldo Rosa da Silva,M,25,184,73,1984,400 metres,NA
Holder Ocante da Silva,M,20,182,80,2008,100 metres,NA
Holder Ocante da Silva,M,24,182,80,2012,100 metres,NA
Holder Ocante da Silva,M,28,182,80,2016,100 metres,NA
Joo Batista Eugnio da Silva,M,20,178,74,1984,200 metres,NA
Jos Joo da Silva,M,30,178,62,1984,"5,000 metres",NA
Jos Joo da Silva,M,30,178,62,1984,"10,000 metres",NA
Joseildo Rocha da Silva,M,27,NA,NA,1992,Marathon,NA
Mrio Manuel da Silva,M,27,172,58,1988,"1,500 metres",NA
Mrio Manuel da Silva,M,31,172,58,1992,"1,500 metres",NA
Rbson Caetano da Silva,M,19,187,74,1984,200 metres,NA
Rbson Caetano da Silva,M,24,187,74,1988,100 metres,NA
Rbson Caetano da Silva,M,24,187,74,1988,200 metres,Bronze
Rbson Caetano da Silva,M,27,187,74,1992,100 metres,NA
Rbson Caetano da Silva,M,27,187,74,1992,200 metres,NA
Rbson Caetano da Silva,M,31,187,74,1996,200 metres,NA
Rui Pedro S Alves da Silva,M,27,173,60,2008,"10,000 metres",NA
Rui Pedro S Alves da Silva,M,31,173,60,2012,Marathon,NA
Rui Pedro S Alves da Silva,M,35,173,60,2016,Marathon,NA
Valdinei Ablio da Silva,M,24,180,71,1996,400 metres,NA
Aldemir Gomes da Silva Jnior,M,20,193,80,2012,200 metres,NA
Aldemir Gomes da Silva Jnior,M,24,193,80,2016,200 metres,NA
Demma Daba Bikila,M,19,171,53,2008,"1,500 metres",NA
Tejitu Daba Chalchissa,F,20,162,44,2012,"5,000 metres",NA
Kokoutse Fabrice Dabla,M,23,NA,NA,2016,200 metres,NA
Daniel Dbrowski,M,24,182,72,2008,400 metres,NA
Roland Dagher,M,NA,NA,NA,1980,100 metres,NA
Roland Dagher,M,NA,NA,NA,1980,200 metres,NA
Nara Bahadur Dahal,M,19,162,50,1980,"10,000 metres",NA
ivind Dahl,M,33,181,64,1984,Marathon,NA
Fatima Abdullah Suleiman Al-Dahman,F,19,168,49,2012,100 metres,NA
Kenza Tifahi Dahmani,F,35,164,54,2016,Marathon,NA
Owusu Dako,M,23,194,85,1996,200 metres,NA
Henry Edmond Daley Colphon,M,22,NA,NA,1992,100 metres,NA
Calvin Dallas,M,36,178,68,1988,Marathon,NA
Calvin Dallas,M,40,178,68,1992,Marathon,NA
Chantal Dllenbach (Fontaine-),F,33,164,48,1996,"10,000 metres",NA
Franoise Odette Damado,F,16,173,65,1980,100 metres,NA
Franoise Odette Damado,F,16,173,65,1980,200 metres,NA
Dambadarjaagiin Gantulga,M,27,170,58,2016,Marathon,NA
Mickal Damian,M,26,173,61,1996,"1,500 metres",NA
Manuel Damio,M,26,175,65,2004,"1,500 metres",NA
Svobodka Damyanova (-Mocheva),F,25,165,51,1980,400 metres,NA
Pascal Dangbo,M,20,179,80,1992,100 metres,NA
Pascal Dangbo,M,24,179,80,1996,200 metres,NA
Pascal Dangbo,M,28,179,80,2000,200 metres,NA
Alvin Daniel,M,23,188,75,1992,400 metres,NA
Marcia Fernanda Daniel,F,22,172,64,2000,400 metres,NA
Vicente Hibrahim Daniel,M,28,167,65,1984,100 metres,NA
Oliver Daniels,M,20,172,59,1984,100 metres,NA
Oliver Daniels,M,24,172,59,1988,100 metres,NA
Oliver Daniels,M,24,172,59,1988,200 metres,NA
Bror Jonny Danielson,M,24,191,74,1988,"5,000 metres",NA
Bror Jonny Danielson,M,27,191,74,1992,"5,000 metres",NA
Mohamed Lamine Dansoko,M,18,161,78,2016,100 metres,NA
Yvonne Margaret Danson (-Tan),F,37,151,38,1996,Marathon,NA
Djnbou Dant,F,26,176,73,2016,400 metres,NA
Fanta Dao,F,19,NA,NA,1992,400 metres,NA
Abdul Karim Daoud,M,18,165,62,1988,"10,000 metres",NA
El-Hassania Darami,F,34,NA,NA,1988,"10,000 metres",NA
Olivette Daruhi (-Bice),F,20,163,52,1988,100 metres,NA
Olivette Daruhi (-Bice),F,20,163,52,1988,200 metres,NA
Oyeyemi Olugbenga Olatokunbo James Dasaolu,M,24,187,88,2012,100 metres,NA
Oyeyemi Olugbenga Olatokunbo James Dasaolu,M,28,187,88,2016,100 metres,NA
Mikhail Antonovich Dasko,M,27,174,61,1988,"5,000 metres",NA
Emmanuel Kwame Dasor,M,20,NA,NA,2016,200 metres,NA
Christelle Daunay,F,33,162,43,2008,Marathon,NA
Christelle Daunay,F,41,162,43,2016,Marathon,NA
Kaingaue David,F,17,167,67,2012,100 metres,NA
Karel David,M,24,180,65,1988,Marathon,NA
Karel David,M,28,180,65,1992,Marathon,NA
Klberson Davide,M,23,175,69,2008,800 metres,NA
Klberson Davide,M,31,175,69,2016,800 metres,NA
Rhonda Davidson-Alley,F,39,170,56,2000,Marathon,NA
Samantha Dawn Davies (-Clayton),F,20,157,52,2000,200 metres,NA
Paul R. Davies-Hale,M,30,176,60,1992,Marathon,NA
Desiree Nicole Davila-Linden,F,28,155,43,2012,Marathon,NA
Desiree Nicole Davila-Linden,F,33,155,43,2016,Marathon,NA
Howard Davis,M,21,185,81,1988,400 metres,NA
Kia Davis,F,32,170,54,2008,200 metres,NA
Kia Davis,F,32,170,54,2008,400 metres,NA
Malachi John Davis,M,26,183,79,2004,400 metres,NA
Pauline Elaine Davis-Thompson,F,18,167,57,1984,100 metres,NA
Pauline Elaine Davis-Thompson,F,18,167,57,1984,200 metres,NA
Pauline Elaine Davis-Thompson,F,22,167,57,1988,100 metres,NA
Pauline Elaine Davis-Thompson,F,22,167,57,1988,200 metres,NA
Pauline Elaine Davis-Thompson,F,26,167,57,1992,100 metres,NA
Pauline Elaine Davis-Thompson,F,26,167,57,1992,200 metres,NA
Pauline Elaine Davis-Thompson,F,30,167,57,1996,400 metres,NA
Pauline Elaine Davis-Thompson,F,34,167,57,2000,200 metres,Gold
Nadia Davy,F,23,168,54,2004,400 metres,NA
Moussa Daweye,M,26,170,64,1984,800 metres,NA
Saidur Rahman Dawn,M,21,162,60,1984,100 metres,NA
Saidur Rahman Dawn,M,21,162,60,1984,200 metres,NA
Christine Day,F,25,168,51,2012,400 metres,NA
Christine Day,F,29,168,51,2016,400 metres,NA
ng Th To,F,24,167,51,1992,Marathon,NA
Vukosava api,F,22,172,57,2000,100 metres,NA
Anglica de Almeida,F,23,158,44,1988,Marathon,NA
Fernando Pereira de Almeida,M,23,186,74,2008,400 metres,NA
Virna De Angeli (-Baldini-),F,20,168,56,1996,400 metres,NA
Altevir Silva de Arajo Filho,M,24,184,72,1980,200 metres,NA
lvaro de Arriba Lpez,M,22,177,69,2016,800 metres,NA
Bruno Lins Tenrio de Barros,M,21,182,85,2008,200 metres,NA
Bruno Lins Tenrio de Barros,M,25,182,85,2012,200 metres,NA
Bruno Lins Tenrio de Barros,M,29,182,85,2016,200 metres,NA
Tatiele Roberta de Carvalho,F,26,156,50,2016,"10,000 metres",NA
"Robert Francois ""Rob"" de Castella",M,23,180,65,1980,Marathon,NA
"Robert Francois ""Rob"" de Castella",M,27,180,65,1984,Marathon,NA
"Robert Francois ""Rob"" de Castella",M,31,180,65,1988,Marathon,NA
"Robert Francois ""Rob"" de Castella",M,35,180,65,1992,Marathon,NA
Milton Costa de Castro,M,26,176,67,1980,100 metres,NA
Andre De Grasse,M,21,176,70,2016,100 metres,Bronze
Andre De Grasse,M,21,176,70,2016,200 metres,Silver
"Roderic George ""Rod"" de Highden",M,27,178,60,1996,Marathon,NA
"Roderic George ""Rod"" de Highden",M,31,178,60,2000,Marathon,NA
Jovana de la Cruz Capani,F,24,161,53,2016,Marathon,NA
